closure_wave,priority,area,service_group,canonical_disposition,python_runtime_resolution,java_cpp_binding_resolution,hosted_fedpro_resolution,pitch_202x_resolution,backend_resolution_reference,row_count,delta_breakdown,closure_goal,acceptance_gate
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Object model root,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,1,modified=1,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Reference data type table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,8,modified=5; new=3,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Switches table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,14,modified=10; new=4,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Time representation table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,8,modified=6; new=2,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Variant record data type table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,1,modified=1,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Array data type table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,7,carry-forward=7,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Attribute table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,10,carry-forward=10,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Data type tables,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,21,carry-forward=21,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Dimension table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,6,carry-forward=6,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Enumerated data type table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,10,carry-forward=10,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Fixed record data type table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,11,carry-forward=11,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Interaction class structure table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,7,carry-forward=7,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Notes table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,5,carry-forward=5,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Object class structure table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,5,carry-forward=5,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Object model identification table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,22,carry-forward=22,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Object model root,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,13,carry-forward=13,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Parameter table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,4,carry-forward=4,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Switches table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,1,carry-forward=1,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Synchronization table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,7,carry-forward=7,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Time representation table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,1,carry-forward=1,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Transportation type table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,6,carry-forward=6,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Update rate table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,6,carry-forward=6,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,User-supplied tag table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,11,carry-forward=11,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Variant record data type table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,13,carry-forward=13,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
3-som-fom-service-usage-crosscheck,P1,SOM/FOM service-usage requirements,Data distribution management,covered,cross-check against parser/import-export and mirrored FI proof; keep exact closure in the row-level ledger,n/a at grouped service-usage level except where mirrored FI rows carry binding surface evidence,n/a at grouped service-usage level unless the mirrored FI row explicitly widens to hosted route proof,n/a at grouped service-usage level unless a mirrored FI owner artifact explicitly records Pitch proto HLA 4 / 202X support or divergence,requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; docs/requirements/ieee-1516-2025/federate_interface.md; docs/requirements/ieee-1516-2025/omt.md,12,modified=12,"Keep the covered row set aligned with mirrored FI proof, parser/import/export behavior, and truthful optional-table and malformed-row boundaries.","Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
3-som-fom-service-usage-crosscheck,P1,SOM/FOM service-usage requirements,Declaration management,covered,cross-check against parser/import-export and mirrored FI proof; keep exact closure in the row-level ledger,n/a at grouped service-usage level except where mirrored FI rows carry binding surface evidence,n/a at grouped service-usage level unless the mirrored FI row explicitly widens to hosted route proof,n/a at grouped service-usage level unless a mirrored FI owner artifact explicitly records Pitch proto HLA 4 / 202X support or divergence,requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; docs/requirements/ieee-1516-2025/federate_interface.md; docs/requirements/ieee-1516-2025/omt.md,16,modified=12; new=4,"Keep the covered row set aligned with mirrored FI proof, parser/import/export behavior, and truthful optional-table and malformed-row boundaries.","Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
3-som-fom-service-usage-crosscheck,P1,SOM/FOM service-usage requirements,Federation management,covered,cross-check against parser/import-export and mirrored FI proof; keep exact closure in the row-level ledger,n/a at grouped service-usage level except where mirrored FI rows carry binding surface evidence,n/a at grouped service-usage level unless the mirrored FI row explicitly widens to hosted route proof,n/a at grouped service-usage level unless a mirrored FI owner artifact explicitly records Pitch proto HLA 4 / 202X support or divergence,requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; docs/requirements/ieee-1516-2025/federate_interface.md; docs/requirements/ieee-1516-2025/omt.md,34,modified=31; new=3,"Keep the covered row set aligned with mirrored FI proof, parser/import/export behavior, and truthful optional-table and malformed-row boundaries.","Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
3-som-fom-service-usage-crosscheck,P1,SOM/FOM service-usage requirements,Object management,covered,cross-check against parser/import-export and mirrored FI proof; keep exact closure in the row-level ledger,n/a at grouped service-usage level except where mirrored FI rows carry binding surface evidence,n/a at grouped service-usage level unless the mirrored FI row explicitly widens to hosted route proof,n/a at grouped service-usage level unless a mirrored FI owner artifact explicitly records Pitch proto HLA 4 / 202X support or divergence,requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; docs/requirements/ieee-1516-2025/federate_interface.md; docs/requirements/ieee-1516-2025/omt.md,32,modified=28; new=4,"Keep the covered row set aligned with mirrored FI proof, parser/import/export behavior, and truthful optional-table and malformed-row boundaries.","Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
3-som-fom-service-usage-crosscheck,P1,SOM/FOM service-usage requirements,Ownership management,covered,cross-check against parser/import-export and mirrored FI proof; keep exact closure in the row-level ledger,n/a at grouped service-usage level except where mirrored FI rows carry binding surface evidence,n/a at grouped service-usage level unless the mirrored FI row explicitly widens to hosted route proof,n/a at grouped service-usage level unless a mirrored FI owner artifact explicitly records Pitch proto HLA 4 / 202X support or divergence,requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; docs/requirements/ieee-1516-2025/federate_interface.md; docs/requirements/ieee-1516-2025/omt.md,18,modified=18,"Keep the covered row set aligned with mirrored FI proof, parser/import/export behavior, and truthful optional-table and malformed-row boundaries.","Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
3-som-fom-service-usage-crosscheck,P1,SOM/FOM service-usage requirements,Support services,covered,cross-check against parser/import-export and mirrored FI proof; keep exact closure in the row-level ledger,n/a at grouped service-usage level except where mirrored FI rows carry binding surface evidence,n/a at grouped service-usage level unless the mirrored FI row explicitly widens to hosted route proof,n/a at grouped service-usage level unless a mirrored FI owner artifact explicitly records Pitch proto HLA 4 / 202X support or divergence,requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; docs/requirements/ieee-1516-2025/federate_interface.md; docs/requirements/ieee-1516-2025/omt.md,59,modified=45; new=14,"Keep the covered row set aligned with mirrored FI proof, parser/import/export behavior, and truthful optional-table and malformed-row boundaries.","Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
3-som-fom-service-usage-crosscheck,P1,SOM/FOM service-usage requirements,Time management,covered,cross-check against parser/import-export and mirrored FI proof; keep exact closure in the row-level ledger,n/a at grouped service-usage level except where mirrored FI rows carry binding surface evidence,n/a at grouped service-usage level unless the mirrored FI row explicitly widens to hosted route proof,n/a at grouped service-usage level unless a mirrored FI owner artifact explicitly records Pitch proto HLA 4 / 202X support or divergence,requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; docs/requirements/ieee-1516-2025/federate_interface.md; docs/requirements/ieee-1516-2025/omt.md,25,modified=24; new=1,"Keep the covered row set aligned with mirrored FI proof, parser/import/export behavior, and truthful optional-table and malformed-row boundaries.","Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
4-framework-som-rule-decomposition,P1,Framework and Rules,Federate rules,duplicate/umbrella,umbrella/framework owner only; resolve executable support through child FI or OMT rows,n/a at framework umbrella level,n/a at framework umbrella level,n/a at framework umbrella level; use child FI or OMT owner artifacts if Pitch proto HLA 4 / 202X becomes relevant,docs/requirements/ieee-1516-2025/framework_rules.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,4,carry-forward=4,Keep the child-row map and framework owner reading synchronized; do not relabel parent normalization rows as standalone proof without a narrower direct claim.,"Every row in this group has explicit owner-doc evidence, row-level disposition, child-row or backend-resolution references, and promotion/no-promote semantics reviewed."
4-framework-som-rule-decomposition,P2,Framework and Rules,Federate rules,duplicate/umbrella,umbrella/framework owner only; resolve executable support through child FI or OMT rows,n/a at framework umbrella level,n/a at framework umbrella level,n/a at framework umbrella level; use child FI or OMT owner artifacts if Pitch proto HLA 4 / 202X becomes relevant,docs/requirements/ieee-1516-2025/framework_rules.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,1,carry-forward=1,Keep the child-row map and framework owner reading synchronized; do not relabel parent normalization rows as standalone proof without a narrower direct claim.,"Every row in this group has explicit owner-doc evidence, row-level disposition, child-row or backend-resolution references, and promotion/no-promote semantics reviewed."
4-framework-som-rule-decomposition,P2,Framework and Rules,Federation rules,duplicate/umbrella,umbrella/framework owner only; resolve executable support through child FI or OMT rows,n/a at framework umbrella level,n/a at framework umbrella level,n/a at framework umbrella level; use child FI or OMT owner artifacts if Pitch proto HLA 4 / 202X becomes relevant,docs/requirements/ieee-1516-2025/framework_rules.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,5,carry-forward=5,Keep the child-row map and framework owner reading synchronized; do not relabel parent normalization rows as standalone proof without a narrower direct claim.,"Every row in this group has explicit owner-doc evidence, row-level disposition, child-row or backend-resolution references, and promotion/no-promote semantics reviewed."
