matrix_id,kind,document,section_ref,title,requirement_id,service_group,status,implementation_refs,positive_test_refs,negative_test_refs,artifact_refs,linked_methods,linked_assets,claim_scope,supported_subset_for,policy_basis,python_runtime_status,python_runtime_disposition,certi_runtime_status,certi_runtime_disposition,portico_runtime_status,portico_runtime_disposition,pitch_runtime_status,pitch_runtime_disposition,pitch_jpype_runtime_disposition,pitch_py4j_runtime_disposition,vendor_evidence_refs,vendor_notes,vendor_source,vendor_profile_bucket,vendor_profile_refs,vendor_profile_notes,vendor_profile_source,notes,source
HLA1516.1-FM-4.32-EXC-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.32,The triggering path for Federation Restore Status Response shall distinguish the clause-defined success and failure categories visible through callback payloads instead of collapsing them into generic behavior.,HLA1516.1-FM-4.32-EXC-001,FM/EXC,partial,,test_restore_status_response_and_failure_callback_paths,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,federationRestoreStatusResponse,HLA1516.1-FM-4.32-001,,,,yes,verified,no,not-yet-tested,,classification-required,yes,verified,verified,verified,../tests/backends/test_python_backend_support_services.py; ../tests/backends/test_python_backend_federation_extended.py; ../tests/backends/test_python_backend_object_ownership_extended.py; ../tests/backends/test_python_backend_time_ddm_extended.py; ../tests/vendors/test_pitch_real_backend_matrix.py,shared save/restore scenario verifies Pitch restore-status callback payload coverage,docs/backend_conformance_matrix.md,,,,,verification_method=callback outcome matrix; Generated failure-category slice for clause 4.32 tied to current negative-path or callback-outcome coverage.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.32-MOM-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.32,"Federation Restore Status Response effects should remain visible through observer-facing federation status, reporting, or MOM-adjacent state where the implementation exposes such information.",HLA1516.1-FM-4.32-MOM-001,FM/MOM,pass,,test_restore_status_response_and_failure_callback_paths; test_abort_federation_restore_reports_aborted_and_clears_status; test_request_federation_restore_failed_is_reported_for_unknown_save_label,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,federationRestoreStatusResponse,HLA1516.1-FM-4.32-001,,,,yes,verified,no,not-yet-tested,,classification-required,yes,verified,verified,verified,../tests/backends/test_python_backend_support_services.py; ../tests/backends/test_python_backend_federation_extended.py; ../tests/backends/test_python_backend_object_ownership_extended.py; ../tests/backends/test_python_backend_time_ddm_extended.py; ../tests/vendors/test_pitch_real_backend_matrix.py,shared save/restore scenario verifies Pitch restore-status callback payload coverage,docs/backend_conformance_matrix.md,,,,,verification_method=observer verification slice; Federation restore status response is now directly exercised as observer-facing reporting across pending failed aborted and missing-save-label flows.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.32-PRE-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.32,The Federation Restore Status Response requirement shall apply only when the synchronization or save/restore preconditions for clause 4.32 are satisfied.,HLA1516.1-FM-4.32-PRE-001,FM/PRE,pass,,test_restore_status_response_and_failure_callback_paths,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,federationRestoreStatusResponse,HLA1516.1-FM-4.32-001,,,,yes,verified,no,not-yet-tested,,classification-required,yes,verified,verified,verified,../tests/backends/test_python_backend_support_services.py; ../tests/backends/test_python_backend_federation_extended.py; ../tests/backends/test_python_backend_object_ownership_extended.py; ../tests/backends/test_python_backend_time_ddm_extended.py; ../tests/vendors/test_pitch_real_backend_matrix.py,shared save/restore scenario verifies Pitch restore-status callback payload coverage,docs/backend_conformance_matrix.md,,,,,verification_method=callback trigger test; Generated precondition slice for clause 4.32 based on the existing engineering seed row.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.32-SIG-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.32,RTI shall deliver the federation restore status through Federation Restore Status Response.,HLA1516.1-FM-4.32-SIG-001,FM/SIG,pass,,test_restore_status_response_and_failure_callback_paths,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,federationRestoreStatusResponse,HLA1516.1-FM-4.32-001,,,,yes,verified,no,not-yet-tested,,classification-required,yes,verified,verified,verified,../tests/backends/test_python_backend_support_services.py; ../tests/backends/test_python_backend_federation_extended.py; ../tests/backends/test_python_backend_object_ownership_extended.py; ../tests/backends/test_python_backend_time_ddm_extended.py; ../tests/vendors/test_pitch_real_backend_matrix.py,shared save/restore scenario verifies Pitch restore-status callback payload coverage,docs/backend_conformance_matrix.md,,,,,verification_method=callback surface verification; Generated decomposition row anchored to parent requirement HLA1516.1-FM-4.32-001.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.32-TEST-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.32,"Federation Restore Status Response shall be covered by direct service or callback tests and by transport-equivalence checks across native, gRPC, and REST entry points.",HLA1516.1-FM-4.32-TEST-001,FM/TEST,pass,,test_restore_status_response_and_failure_callback_paths; test_grpc_transport_can_host_python_rti_save_restore_end_to_end; test_rest_transport_can_host_python_rti_save_restore_end_to_end,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,federationRestoreStatusResponse,HLA1516.1-FM-4.32-001,,,,yes,verified,no,not-yet-tested,,classification-required,yes,verified,verified,verified,../tests/backends/test_python_backend_support_services.py; ../tests/backends/test_python_backend_federation_extended.py; ../tests/backends/test_python_backend_object_ownership_extended.py; ../tests/backends/test_python_backend_time_ddm_extended.py; ../tests/vendors/test_pitch_real_backend_matrix.py,shared save/restore scenario verifies Pitch restore-status callback payload coverage,docs/backend_conformance_matrix.md,,,,,verification_method=test plan + backend matrix placeholder; Native save/restore evidence is now backed by explicit hosted gRPC and REST save/restore lifecycle coverage.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.5-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.5,RTI shall provide Create Federation Execution,HLA1516.1-FM-4.5-001,FM,pass,hla2010/backends/python/federation_lifecycle.py,tests/verification/test_requirements_ledger_v013.py,,analysis/compliance/requirements_ledger.csv; requirements/hla1516_1_clause_4_fm_service_decomposition.csv; requirements/hla1516_1_priority_clauses_4_8_11.csv,,HLA1516.1-FM-4.5-001,,,,,verified,,classification-required,,classification-required,,verified,verified,verified,,,,,,,,verification_method=service verification; Clause-level extraction row mapped to current create-federation evidence and to the harmonized decomposition tranche and to the harmonized FM service decomposition.,requirements/hla1516_1_priority_clauses_4_8_11.csv
HLA1516.1-FM-4.5-CB-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.5,Create Federation Execution shall make the created federation observable to subsequent callback-based reporting services such as Report Federation Executions.,HLA1516.1-FM-4.5-CB-001,FM/CB,pass,,test_list_federation_executions_requires_connection_and_reports_known_federations,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,createFederationExecution; listFederationExecutions,HLA1516.1-FM-4.5-001,,,,,verified,,classification-required,,classification-required,,verified,verified,verified,,,,,,,,verification_method=callback and integration test; This is the first observable callback consequence of successful creation in the current repo.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.5-EFF-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.5,"Successful Create Federation Execution shall install the federation, resolve and merge the supplied FOM modules, supply the standard MIM by default when needed, and choose a logical time factory compatible with the merged model.",HLA1516.1-FM-4.5-EFF-001,FM/EFF,partial,,test_create_federation_execution_with_explicit_mim_uses_requested_module,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,createFederationExecution; createFederationExecutionWithMIM,HLA1516.1-FM-4.5-001,,,,,vendor-divergent,,classification-required,,classification-required,,verified,verified,verified,,,,,,,,verification_method=stateful integration test; The current suite proves several effect slices but not the whole state vector in one test.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.5-EXC-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.5,"Create Federation Execution shall distinguish duplicate-name, FOM-open, FOM-read, MIM-open, MIM-read, invalid-time-factory, inconsistent-FOM, and invalid-standard-MIM-designator failures.",HLA1516.1-FM-4.5-EXC-001,FM/EXC,pass,,test_create_federation_execution_distinguishes_open_read_time_and_inconsistent_fom_errors,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,createFederationExecution; createFederationExecutionWithMIM,HLA1516.1-FM-4.5-001,,,,,verified,,classification-required,,classification-required,,vendor-divergent,vendor-divergent,vendor-divergent,,,,,,,,verification_method=negative exception matrix; Current tests already separate the major exception families instead of collapsing them into one generic failure.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.5-MOM-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.5,Successful Create Federation Execution shall expose the standard MIM-backed federation object model so MOM federation classes and interactions are available once a federate joins.,HLA1516.1-FM-4.5-MOM-001,FM/MOM,pass,,test_standard_mim_is_loaded_and_exposes_mom_classes_and_interactions,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,createFederationExecution; createFederationExecutionWithMIM,HLA1516.1-FM-4.5-001,,,,,verified,,classification-required,,classification-required,,verified,verified,verified,,,,,,,,verification_method=observer verification slice; MOM visibility is currently proven through post-join observation of the created federation.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.5-PRE-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.5,Create Federation Execution shall require a connected ambassador and shall reject duplicate federation execution names.,HLA1516.1-FM-4.5-PRE-001,FM/PRE,pass,,test_create_federation_execution_rejects_duplicate_name,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,createFederationExecution; createFederationExecutionWithMIM,HLA1516.1-FM-4.5-001,,,,,verified,,classification-required,,classification-required,,verified,verified,verified,,,,,,,,verification_method=negative service tests; NotConnected and duplicate-name behavior are both covered in the current suite.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.5-SIG-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.5,"RTI shall provide the Create Federation Execution service, including the explicit-MIM overload shape used by the current API surface.",HLA1516.1-FM-4.5-SIG-001,FM/SIG,pass,,test_requirements_ledger_covers_generated_api_surface,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,createFederationExecution; createFederationExecutionWithMIM,HLA1516.1-FM-4.5-001,,,,,verified,,classification-required,,classification-required,,verified,verified,verified,,,,,,,,verification_method=api surface + service verification; The current implementation exposes both create variants.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.5-TEST-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.5,"Create Federation Execution shall be covered by direct service tests plus transport-equivalence checks across native, gRPC, and REST entry points.",HLA1516.1-FM-4.5-TEST-001,FM/TEST,pass,,test_grpc_transport_can_host_python_rti_fm_lifecycle_end_to_end; test_rest_transport_can_host_python_rti_fm_lifecycle_end_to_end,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,createFederationExecution; createFederationExecutionWithMIM,HLA1516.1-FM-4.5-001,,,,,verified,,classification-required,,classification-required,,verified,verified,verified,,,,,,,,verification_method=test plan + backend matrix placeholder; Native lifecycle tests now have explicit hosted gRPC and REST lifecycle smoke coverage.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.6-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.6,RTI shall provide Destroy Federation Execution,HLA1516.1-FM-4.6-001,FM,pass,hla2010/backends/python/federation_lifecycle.py,tests/backends/test_python_backend_federation_extended.py,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv; requirements/hla1516_1_priority_clauses_4_8_11.csv,,HLA1516.1-FM-4.6-001,,,,,verified,,classification-required,,classification-required,,verified,verified,verified,,,,,,,,verification_method=service verification; Clause-level extraction row mapped to explicit destroy behavior and to the harmonized lifecycle decomposition and to the harmonized FM service decomposition.,requirements/hla1516_1_priority_clauses_4_8_11.csv
HLA1516.1-FM-4.6-CB-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.6,"After successful destruction, callback-based federation listing shall no longer report the destroyed federation execution.",HLA1516.1-FM-4.6-CB-001,FM/CB,pass,,test_destroy_federation_execution_removes_destroyed_federation_from_report_callback,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,destroyFederationExecution; listFederationExecutions,HLA1516.1-FM-4.6-001,,,,,verified,,classification-required,,classification-required,,verified,verified,verified,,,,,,,,verification_method=callback and integration test; Directly asserts destroyed federations disappear from subsequent Report Federation Executions callbacks.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.6-EFF-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.6,Successful Destroy Federation Execution shall remove the target federation execution from the RTI federation catalog.,HLA1516.1-FM-4.6-EFF-001,FM/EFF,pass,,test_destroy_federation_execution_requires_no_joined_federates,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,destroyFederationExecution,HLA1516.1-FM-4.6-001,,,,,verified,,classification-required,,classification-required,,verified,verified,verified,,,,,,,,verification_method=stateful integration test; The current test asserts the federation record is removed from engine state.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.6-EXC-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.6,Destroy Federation Execution shall report FederatesCurrentlyJoined when members remain and FederationExecutionDoesNotExist when the target federation is unknown.,HLA1516.1-FM-4.6-EXC-001,FM/EXC,pass,,test_destroy_federation_execution_requires_no_joined_federates,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,destroyFederationExecution,HLA1516.1-FM-4.6-001,,,,,verified,,classification-required,,classification-required,,verified,verified,verified,,,,,,,,verification_method=negative service tests; The two principal destroy guards are already separated in the test suite.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.6-MOM-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.6,Successful destruction should remove the destroyed federation from subsequent MOM-visible federation state and reports.,HLA1516.1-FM-4.6-MOM-001,FM/MOM,pass,,test_destroy_federation_execution_removes_destroyed_federation_from_report_callback,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,destroyFederationExecution,HLA1516.1-FM-4.6-001,,,,,verified,,classification-required,,classification-required,,verified,verified,verified,,,,,,,,verification_method=observer verification slice; Subsequent federation-execution reporting no longer includes the destroyed federation as observer-facing state.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.6-PRE-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.6,Destroy Federation Execution shall require a connected ambassador and a target federation execution that has no currently joined federates.,HLA1516.1-FM-4.6-PRE-001,FM/PRE,pass,,test_destroy_federation_execution_requires_no_joined_federates,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,destroyFederationExecution,HLA1516.1-FM-4.6-001,,,,,verified,,classification-required,,classification-required,,verified,verified,verified,,,,,,,,verification_method=negative service tests; Missing-federation and joined-federates guards are both implemented.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.6-SIG-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.6,RTI shall provide the Destroy Federation Execution service.,HLA1516.1-FM-4.6-SIG-001,FM/SIG,pass,,test_destroy_federation_execution_requires_no_joined_federates,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,destroyFederationExecution,HLA1516.1-FM-4.6-001,,,,,verified,,classification-required,,classification-required,,verified,verified,verified,,,,,,,,verification_method=api surface + service verification; The coarse 4.6 row is now split into distinct behavioral slices.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.6-TEST-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.6,"Destroy Federation Execution shall be covered by direct service tests plus transport-equivalence checks across native, gRPC, and REST entry points.",HLA1516.1-FM-4.6-TEST-001,FM/TEST,pass,,test_grpc_transport_can_host_python_rti_fm_lifecycle_end_to_end; test_rest_transport_can_host_python_rti_fm_lifecycle_end_to_end,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,destroyFederationExecution,HLA1516.1-FM-4.6-001,,,,,verified,,classification-required,,classification-required,,verified,verified,verified,,,,,,,,verification_method=test plan + backend matrix placeholder; Native lifecycle tests now have explicit hosted gRPC and REST lifecycle smoke coverage.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.9-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.9,RTI shall provide Join Federation Execution,HLA1516.1-FM-4.9-001,FM,pass,hla2010/backends/python/federation_lifecycle.py,tests/backends/test_python_backend_federation_extended.py,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv; requirements/hla1516_1_priority_clauses_4_8_11.csv,,HLA1516.1-FM-4.9-001,,,,,verified,,classification-required,,classification-required,,verified,verified,verified,,,,,,,,verification_method=service verification; Clause-level extraction row mapped to explicit join behavior and to the harmonized lifecycle decomposition and to the harmonized FM service decomposition.,requirements/hla1516_1_priority_clauses_4_8_11.csv
HLA1516.1-FM-4.9-CB-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.9,Successful Join Federation Execution shall trigger delivery of any open synchronization-point announcements relevant to the joiner and enable subsequent callback delivery for joined participation.,HLA1516.1-FM-4.9-CB-001,FM/CB,pass,,test_whole_federation_synchronization_announces_late_joiner_before_completion,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,joinFederationExecution,HLA1516.1-FM-4.9-001,,,,,verified,,classification-required,,classification-required,,verified,verified,verified,,,,,,,,verification_method=callback and integration test; Late-join synchronization announcement behavior is already verified.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.9-EFF-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.9,"Successful Join Federation Execution shall allocate a federate handle, bind the federate to the target federation, initialize logical time and lookahead state, merge any accepted additional FOM modules, and register the federate in the federation state.",HLA1516.1-FM-4.9-EFF-001,FM/EFF,partial,,test_join_federation_execution_with_additional_modules_updates_catalog,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,joinFederationExecution,HLA1516.1-FM-4.9-001,,,,,vendor-divergent,,classification-required,,classification-required,,verified,verified,verified,,,,,,,,"verification_method=stateful integration test; Several effect slices are proven, but this full state transition is not yet asserted in one place.",requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.9-EXC-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.9,"Join Federation Execution shall distinguish not-connected, missing-federation, duplicate-federate-name, already-joined, save-in-progress, restore-in-progress, FOM-open, FOM-read, invalid-time-factory, and inconsistent-FOM failures.",HLA1516.1-FM-4.9-EXC-001,FM/EXC,pass,,test_join_federation_execution_distinguishes_open_read_time_and_inconsistent_additional_fom_errors,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,joinFederationExecution,HLA1516.1-FM-4.9-001,,,,,verified,,classification-required,,classification-required,,vendor-divergent,vendor-divergent,vendor-divergent,,,,,,,,verification_method=negative exception matrix; The current suite already treats join failures as distinct exception requirements.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.9-MOM-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.9,Successful Join Federation Execution shall create or refresh the joined federate's MOM-visible federate object and refresh MOM federation state.,HLA1516.1-FM-4.9-MOM-001,FM/MOM,pass,,test_mom_runtime_uses_no_hidden_rti_side_subscriptions,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,joinFederationExecution,HLA1516.1-FM-4.9-001,,,,,verified,,classification-required,,classification-required,,verified,verified,verified,,,,,,,,verification_method=observer verification slice; MOM federate-object creation and joined-state visibility are already observable.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.9-PRE-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.9,"Join Federation Execution shall require a connected ambassador that is not already joined, an existing federation execution, a non-conflicting federate name, and no save or restore already in progress for the federation.",HLA1516.1-FM-4.9-PRE-001,FM/PRE,pass,,test_join_federation_execution_rejects_save_and_restore_in_progress,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,joinFederationExecution,HLA1516.1-FM-4.9-001,,,,,verified,,classification-required,,classification-required,,verified,verified,verified,,,,,,,,verification_method=negative service tests; The repo already exercises the main join preconditions through dedicated negative tests.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.9-SIG-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.9,"RTI shall provide the Join Federation Execution service, including the overload shapes that accept generated federate names and optional additional FOM modules.",HLA1516.1-FM-4.9-SIG-001,FM/SIG,pass,,test_requirements_ledger_covers_generated_api_surface,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,joinFederationExecution,HLA1516.1-FM-4.9-001,,,,,verified,,classification-required,,classification-required,,verified,verified,verified,,,,,,,,verification_method=api surface + service verification; Current Python API supports the common join call shapes used by the backend.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-FM-4.9-TEST-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4.9,"Join Federation Execution shall be covered by direct service tests and transport-equivalence checks across native, gRPC, and REST entry points.",HLA1516.1-FM-4.9-TEST-001,FM/TEST,pass,,test_grpc_transport_can_host_python_rti_fm_lifecycle_end_to_end; test_rest_transport_can_host_python_rti_fm_lifecycle_end_to_end,,requirements/hla1516_1_clause_4_fm_service_decomposition.csv,joinFederationExecution,HLA1516.1-FM-4.9-001,,,,,verified,,classification-required,,classification-required,,verified,verified,verified,,,,,,,,verification_method=test plan + backend matrix placeholder; Native lifecycle tests now have explicit hosted gRPC and REST lifecycle smoke coverage.,requirements/hla1516_1_clause_4_fm_service_decomposition.csv
HLA1516.1-MOM-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §11,The RTI shall implement MOM behavior for tables,HLA1516.1-MOM-001,Management Object Model behavior,planned,hla2010/backends/python/mom_actions.py; hla2010/mom_catalog.py,tests/verification/test_mom_observer_slice_v013.py,,analysis/compliance/requirements_matrix_2010.csv; analysis/compliance/verification_assets.json; analysis/compliance/verification_traceability.csv; requirements/hla1516_1_federate_interface.csv,,REQ-MOM-OBSERVER-001,,,,,not-applicable,,not-applicable,,not-applicable,,not-applicable,not-applicable,not-applicable,,,,,,,,verification_method= and service-reporting state; hla2010/backends/python/mom_actions.py; Connects the standards-family row to the focused MOM observer slice,requirements/hla1516_1_federate_interface.csv
HLA1516.1-MOM-11.1-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §11.1,RTI shall expose management information through standard MOM objects and interactions,HLA1516.1-MOM-11.1-001,MOM,pass,,test_mom_observer_slice_reconstructs_federate_object_discovery_and_reflection,,requirements/hla1516_1_priority_clauses_4_8_11.csv,,,,,,,verified,,classification-required,,classification-required,,classification-required,classification-required,classification-required,,,,,,,,verification_method=verification slice,requirements/hla1516_1_priority_clauses_4_8_11.csv
HLA1516.1-MOM-11.1-002,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §11.1,MOM shall use the OMT format,HLA1516.1-MOM-11.1-002,MOM,pass,,test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,,requirements/hla1516_1_priority_clauses_4_8_11.csv,,,,,,,verified,,classification-required,,classification-required,,classification-required,classification-required,classification-required,,,,,,,,verification_method=verification slice,requirements/hla1516_1_priority_clauses_4_8_11.csv
HLA1516.1-MOM-11.1-003,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §11.1,FDD for a federation execution shall include all MOM elements,HLA1516.1-MOM-11.1-003,MOM,pass,,test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,,requirements/hla1516_1_priority_clauses_4_8_11.csv,,,,,,,verified,,classification-required,,classification-required,,classification-required,classification-required,classification-required,,,,,,,,verification_method=integration test,requirements/hla1516_1_priority_clauses_4_8_11.csv
HLA1516.1-MOM-11.1-004,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §11.1,MOM object classes interaction classes attributes and parameters shall be predefined in the FDD,HLA1516.1-MOM-11.1-004,MOM,pass,,test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,,requirements/hla1516_1_priority_clauses_4_8_11.csv,,,,,,,verified,,classification-required,,classification-required,,classification-required,classification-required,classification-required,,,,,,,,verification_method=integration test,requirements/hla1516_1_priority_clauses_4_8_11.csv
HLA1516.1-MOM-11.1-005,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §11.1,MOM definitions shall not be revised though they may be extended,HLA1516.1-MOM-11.1-005,MOM,pass,packages/hla-backend-inmemory/src/hla.backends.inmemory/mom_catalog.py; src/hla2010/mom.py,tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata; tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_mom_table_definitions_without_alteration,,requirements/hla1516_1_priority_clauses_4_8_11.csv,,,,,,,verified,,classification-required,,classification-required,,classification-required,classification-required,classification-required,,,,,,,,verification_method=catalog extension test,requirements/hla1516_1_priority_clauses_4_8_11.csv
HLA1516.1-MOM-11.2-001,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §11.2,RTI shall publish MOM object classes required by the standard,HLA1516.1-MOM-11.2-001,MOM,pass,,test_standard_mim_object_classes_are_loaded_and_mom_attributes_are_reflected,,requirements/hla1516_1_priority_clauses_4_8_11.csv,,,,,,,verified,,classification-required,,classification-required,,classification-required,classification-required,classification-required,,,,,,,,verification_method=integration test,requirements/hla1516_1_priority_clauses_4_8_11.csv
HLA1516.1-MOM-11.2-002,extracted-requirement,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §11.2,RTI shall register one MOM federate object instance for each joined federate,HLA1516.1-MOM-11.2-002,MOM,pass,hla2010/backends/python/mom.py; hla2010/backends/python/mom_reporting.py,tests/verification/test_mom_observer_slice_v013.py,,analysis/compliance/verification_assets.json; analysis/compliance/verification_traceability.csv; requirements/hla1516_1_priority_clauses_4_8_11.csv,,HLA1516.1-MOM-11.2-002,,,,,verified,,classification-required,,classification-required,,classification-required,classification-required,classification-required,,,,,,,,verification_method=observer verification slice; Clause-level extraction row mapped to focused MOM observer evidence,requirements/hla1516_1_priority_clauses_4_8_11.csv
