surface_type,item,status,reuse_action,requirement_action,service_group,2010_section_or_location,2025_section_or_location,2010_detail,2025_detail,notes
Java RTIambassador,normalizeFederateHandle,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"long normalizeFederateHandle(FederateHandle) throws InvalidFederateHandle, FederateNotExecutionMember, NotConnected, RTIinternalError","long normalizeFederateHandle(FederateHandle) throws InvalidFederateHandle, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,normalizeInteractionClassHandle,New 2025 API method,Add,Add 2025 API/binding requirement,Java RTIambassador,,Java rti1516_2025,,"long normalizeInteractionClassHandle(InteractionClassHandle) throws InvalidInteractionClassHandle, FederateNotExecutionMember, NotConnected, RTIinternalError",New 2025 Java method name; add requirement or map if replacing a 2010 name.
Java RTIambassador,normalizeObjectClassHandle,New 2025 API method,Add,Add 2025 API/binding requirement,Java RTIambassador,,Java rti1516_2025,,"long normalizeObjectClassHandle(ObjectClassHandle) throws InvalidObjectClassHandle, FederateNotExecutionMember, NotConnected, RTIinternalError",New 2025 Java method name; add requirement or map if replacing a 2010 name.
Java RTIambassador,normalizeObjectInstanceHandle,New 2025 API method,Add,Add 2025 API/binding requirement,Java RTIambassador,,Java rti1516_2025,,"long normalizeObjectInstanceHandle(ObjectInstanceHandle) throws InvalidObjectInstanceHandle, FederateNotExecutionMember, NotConnected, RTIinternalError",New 2025 Java method name; add requirement or map if replacing a 2010 name.
Java RTIambassador,normalizeServiceGroup,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"long normalizeServiceGroup(ServiceGroup) throws InvalidServiceGroup, FederateNotExecutionMember, NotConnected, RTIinternalError","long normalizeServiceGroup(ServiceGroup) throws InvalidServiceGroup, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,publishInteractionClass,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"void publishInteractionClass(InteractionClassHandle) throws InteractionClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","void publishInteractionClass(InteractionClassHandle) throws InteractionClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,publishObjectClassAttributes,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"void publishObjectClassAttributes(ObjectClassHandle, AttributeHandleSet) throws AttributeNotDefined, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","void publishObjectClassAttributes(ObjectClassHandle, AttributeHandleSet) throws AttributeNotDefined, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,publishObjectClassDirectedInteractions,New 2025 API method,Add,Add 2025 API/binding requirement,Java RTIambassador,,Java rti1516_2025,,"void publishObjectClassDirectedInteractions(ObjectClassHandle, InteractionClassHandleSet) throws InteractionClassNotDefined, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",New 2025 Java method name; add requirement or map if replacing a 2010 name.
Java RTIambassador,queryAttributeOwnership,Different API signature,Modify,Modify 2010 requirement/test to use 2025 signature and behavior,Java RTIambassador,Java rti1516e,Java rti1516_2025,"void queryAttributeOwnership(ObjectInstanceHandle, AttributeHandle) throws AttributeNotDefined, ObjectInstanceNotKnown, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","void queryAttributeOwnership(ObjectInstanceHandle, AttributeHandleSet) throws AttributeNotDefined, ObjectInstanceNotKnown, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Different: query accepts AttributeHandleSet rather than a single AttributeHandle.
Java RTIambassador,queryAttributeTransportationType,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"void queryAttributeTransportationType(ObjectInstanceHandle, AttributeHandle) throws AttributeNotDefined, ObjectInstanceNotKnown, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","void queryAttributeTransportationType(ObjectInstanceHandle, AttributeHandle) throws AttributeNotDefined, ObjectInstanceNotKnown, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,queryFederationRestoreStatus,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"void queryFederationRestoreStatus() throws SaveInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","void queryFederationRestoreStatus() throws SaveInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,queryFederationSaveStatus,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"void queryFederationSaveStatus() throws RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","void queryFederationSaveStatus() throws RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,queryGALT,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"TimeQueryReturn queryGALT() throws SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","TimeQueryReturn queryGALT() throws SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,queryInteractionTransportationType,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"void queryInteractionTransportationType(FederateHandle, InteractionClassHandle) throws InteractionClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","void queryInteractionTransportationType(FederateHandle, InteractionClassHandle) throws InteractionClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,queryLITS,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"TimeQueryReturn queryLITS() throws SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","TimeQueryReturn queryLITS() throws SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,queryLogicalTime,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"LogicalTime queryLogicalTime() throws SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","LogicalTime queryLogicalTime() throws SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,queryLookahead,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"LogicalTimeInterval queryLookahead() throws TimeRegulationIsNotEnabled, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","LogicalTimeInterval queryLookahead() throws TimeRegulationIsNotEnabled, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,registerFederationSynchronizationPoint,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"void registerFederationSynchronizationPoint(String, byte[]) throws SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError | void registerFederationSynchronizationPoint(String, byte[], FederateHandleSet) throws InvalidFederateHandle, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","void registerFederationSynchronizationPoint(String, byte[]) throws SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError | void registerFederationSynchronizationPoint(String, byte[], FederateHandleSet) throws InvalidFederateHandle, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,registerObjectInstance,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"ObjectInstanceHandle registerObjectInstance(ObjectClassHandle) throws ObjectClassNotPublished, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError | ObjectInstanceHandle registerObjectInstance(ObjectClassHandle, String) throws ObjectInstanceNameInUse, ObjectInstanceNameNotReserved, ObjectClassNotPublished, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","ObjectInstanceHandle registerObjectInstance(ObjectClassHandle) throws ObjectClassNotPublished, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError | ObjectInstanceHandle registerObjectInstance(ObjectClassHandle, String) throws ObjectInstanceNameInUse, ObjectInstanceNameNotReserved, ObjectClassNotPublished, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,registerObjectInstanceWithRegions,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"ObjectInstanceHandle registerObjectInstanceWithRegions(ObjectClassHandle, AttributeSetRegionSetPairList) throws InvalidRegionContext, RegionNotCreatedByThisFederate, InvalidRegion, AttributeNotPublished, ObjectClassNotPublished, AttributeNotDefined, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError | ObjectInstanceHandle registerObjectInstanceWithRegions(ObjectClassHandle, AttributeSetRegionSetPairList, String) throws ObjectInstanceNameInUse, ObjectInstanceNameNotReserved, InvalidRegionContext, RegionNotCreatedByThisFederate, InvalidRegion, AttributeNotPublished, ObjectClassNotPublished, AttributeNotDefined, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","ObjectInstanceHandle registerObjectInstanceWithRegions(ObjectClassHandle, AttributeSetRegionSetPairList) throws InvalidRegionContext, RegionNotCreatedByThisFederate, InvalidRegion, AttributeNotPublished, ObjectClassNotPublished, AttributeNotDefined, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError | ObjectInstanceHandle registerObjectInstanceWithRegions(ObjectClassHandle, AttributeSetRegionSetPairList, String) throws ObjectInstanceNameInUse, ObjectInstanceNameNotReserved, InvalidRegionContext, RegionNotCreatedByThisFederate, InvalidRegion, AttributeNotPublished, ObjectClassNotPublished, AttributeNotDefined, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,releaseMultipleObjectInstanceName,Removed or renamed API method,Retire or map,Do not carry forward unchanged; map to replacement if applicable,Java RTIambassador,Java rti1516e,,"void releaseMultipleObjectInstanceName(Set) throws ObjectInstanceNameNotReserved, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",,Java binding spelling/naming correction; use releaseMultipleObjectInstanceNames.
Java RTIambassador,releaseMultipleObjectInstanceNames,Replacement / renamed API method,Map existing requirement,Reuse/migrate 2010 requirement to 2025 name/signature,Java RTIambassador,,Java rti1516_2025,,"void releaseMultipleObjectInstanceNames(Set) throws ObjectInstanceNameNotReserved, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",New 2025 Java method name; add requirement or map if replacing a 2010 name.
Java RTIambassador,releaseObjectInstanceName,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"void releaseObjectInstanceName(String) throws ObjectInstanceNameNotReserved, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","void releaseObjectInstanceName(String) throws ObjectInstanceNameNotReserved, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,requestAttributeTransportationTypeChange,Different exception set,Modify exception requirement,"Reuse behavior requirement, but update exception/negative-path requirements",Java RTIambassador,Java rti1516e,Java rti1516_2025,"void requestAttributeTransportationTypeChange(ObjectInstanceHandle, AttributeHandleSet, TransportationTypeHandle) throws AttributeAlreadyBeingChanged, AttributeNotOwned, AttributeNotDefined, ObjectInstanceNotKnown, InvalidTransportationType, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","void requestAttributeTransportationTypeChange(ObjectInstanceHandle, AttributeHandleSet, TransportationTypeHandle) throws AttributeAlreadyBeingChanged, AttributeNotOwned, AttributeNotDefined, ObjectInstanceNotKnown, InvalidTransportationTypeHandle, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","Same signature, but exception type changes from InvalidTransportationType to InvalidTransportationTypeHandle."
Java RTIambassador,requestAttributeValueUpdate,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"void requestAttributeValueUpdate(ObjectInstanceHandle, AttributeHandleSet, byte[]) throws AttributeNotDefined, ObjectInstanceNotKnown, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError | void requestAttributeValueUpdate(ObjectClassHandle, AttributeHandleSet, byte[]) throws AttributeNotDefined, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","void requestAttributeValueUpdate(ObjectInstanceHandle, AttributeHandleSet, byte[]) throws AttributeNotDefined, ObjectInstanceNotKnown, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError | void requestAttributeValueUpdate(ObjectClassHandle, AttributeHandleSet, byte[]) throws AttributeNotDefined, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,requestAttributeValueUpdateWithRegions,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"void requestAttributeValueUpdateWithRegions(ObjectClassHandle, AttributeSetRegionSetPairList, byte[]) throws InvalidRegionContext, RegionNotCreatedByThisFederate, InvalidRegion, AttributeNotDefined, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","void requestAttributeValueUpdateWithRegions(ObjectClassHandle, AttributeSetRegionSetPairList, byte[]) throws InvalidRegionContext, RegionNotCreatedByThisFederate, InvalidRegion, AttributeNotDefined, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,requestFederationRestore,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"void requestFederationRestore(String) throws SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","void requestFederationRestore(String) throws SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,requestFederationSave,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"void requestFederationSave(String) throws SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError | void requestFederationSave(String, LogicalTime) throws LogicalTimeAlreadyPassed, InvalidLogicalTime, FederateUnableToUseTime, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","void requestFederationSave(String) throws SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError | void requestFederationSave(String, LogicalTime) throws LogicalTimeAlreadyPassed, InvalidLogicalTime, FederateUnableToUseTime, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,requestInteractionTransportationTypeChange,Different exception set,Modify exception requirement,"Reuse behavior requirement, but update exception/negative-path requirements",Java RTIambassador,Java rti1516e,Java rti1516_2025,"void requestInteractionTransportationTypeChange(InteractionClassHandle, TransportationTypeHandle) throws InteractionClassAlreadyBeingChanged, InteractionClassNotPublished, InteractionClassNotDefined, InvalidTransportationType, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","void requestInteractionTransportationTypeChange(InteractionClassHandle, TransportationTypeHandle) throws InteractionClassAlreadyBeingChanged, InteractionClassNotPublished, InteractionClassNotDefined, InvalidTransportationTypeHandle, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","Same signature, but exception type changes from InvalidTransportationType to InvalidTransportationTypeHandle."
Java RTIambassador,reserveMultipleObjectInstanceName,Removed or renamed API method,Retire or map,Do not carry forward unchanged; map to replacement if applicable,Java RTIambassador,Java rti1516e,,"void reserveMultipleObjectInstanceName(Set) throws IllegalName, NameSetWasEmpty, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",,Java binding spelling/naming correction; use reserveMultipleObjectInstanceNames.
Java RTIambassador,reserveMultipleObjectInstanceNames,Replacement / renamed API method,Map existing requirement,Reuse/migrate 2010 requirement to 2025 name/signature,Java RTIambassador,,Java rti1516_2025,,"void reserveMultipleObjectInstanceNames(Set) throws IllegalName, NameSetWasEmpty, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",New 2025 Java method name; add requirement or map if replacing a 2010 name.
Java RTIambassador,reserveObjectInstanceName,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"void reserveObjectInstanceName(String) throws IllegalName, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","void reserveObjectInstanceName(String) throws IllegalName, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,resignFederationExecution,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"void resignFederationExecution(ResignAction) throws InvalidResignAction, OwnershipAcquisitionPending, FederateOwnsAttributes, FederateNotExecutionMember, NotConnected, CallNotAllowedFromWithinCallback, RTIinternalError","void resignFederationExecution(ResignAction) throws InvalidResignAction, OwnershipAcquisitionPending, FederateOwnsAttributes, FederateNotExecutionMember, NotConnected, CallNotAllowedFromWithinCallback, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,retract,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"void retract(MessageRetractionHandle) throws MessageCanNoLongerBeRetracted, InvalidMessageRetractionHandle, TimeRegulationIsNotEnabled, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","void retract(MessageRetractionHandle) throws MessageCanNoLongerBeRetracted, InvalidMessageRetractionHandle, TimeRegulationIsNotEnabled, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,sendDirectedInteraction,New 2025 API method,Add,Add 2025 API/binding requirement,Java RTIambassador,,Java rti1516_2025,,"void sendDirectedInteraction(InteractionClassHandle, ObjectInstanceHandle, ParameterHandleValueMap, byte[]) throws ObjectInstanceNotKnown, InteractionClassNotPublished, InteractionParameterNotDefined, InteractionClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError | MessageRetractionReturn sendDirectedInteraction(InteractionClassHandle, ObjectInstanceHandle, ParameterHandleValueMap, byte[], LogicalTime) throws InvalidLogicalTime, ObjectInstanceNotKnown, InteractionClassNotPublished, InteractionParameterNotDefined, InteractionClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",New 2025 Java method name; add requirement or map if replacing a 2010 name.
Java RTIambassador,sendInteraction,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"void sendInteraction(InteractionClassHandle, ParameterHandleValueMap, byte[]) throws InteractionClassNotPublished, InteractionParameterNotDefined, InteractionClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError | MessageRetractionReturn sendInteraction(InteractionClassHandle, ParameterHandleValueMap, byte[], LogicalTime) throws InvalidLogicalTime, InteractionClassNotPublished, InteractionParameterNotDefined, InteractionClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","void sendInteraction(InteractionClassHandle, ParameterHandleValueMap, byte[]) throws InteractionClassNotPublished, InteractionParameterNotDefined, InteractionClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError | MessageRetractionReturn sendInteraction(InteractionClassHandle, ParameterHandleValueMap, byte[], LogicalTime) throws InvalidLogicalTime, InteractionClassNotPublished, InteractionParameterNotDefined, InteractionClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,sendInteractionWithRegions,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"void sendInteractionWithRegions(InteractionClassHandle, ParameterHandleValueMap, RegionHandleSet, byte[]) throws InvalidRegionContext, RegionNotCreatedByThisFederate, InvalidRegion, InteractionClassNotPublished, InteractionParameterNotDefined, InteractionClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError | MessageRetractionReturn sendInteractionWithRegions(InteractionClassHandle, ParameterHandleValueMap, RegionHandleSet, byte[], LogicalTime) throws InvalidLogicalTime, InvalidRegionContext, RegionNotCreatedByThisFederate, InvalidRegion, InteractionClassNotPublished, InteractionParameterNotDefined, InteractionClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","void sendInteractionWithRegions(InteractionClassHandle, ParameterHandleValueMap, RegionHandleSet, byte[]) throws InvalidRegionContext, RegionNotCreatedByThisFederate, InvalidRegion, InteractionClassNotPublished, InteractionParameterNotDefined, InteractionClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError | MessageRetractionReturn sendInteractionWithRegions(InteractionClassHandle, ParameterHandleValueMap, RegionHandleSet, byte[], LogicalTime) throws InvalidLogicalTime, InvalidRegionContext, RegionNotCreatedByThisFederate, InvalidRegion, InteractionClassNotPublished, InteractionParameterNotDefined, InteractionClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
Java RTIambassador,setAttributeRelevanceAdvisorySwitch,New 2025 API method,Add,Add 2025 API/binding requirement,Java RTIambassador,,Java rti1516_2025,,"void setAttributeRelevanceAdvisorySwitch(boolean) throws SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",New 2025 Java method name; add requirement or map if replacing a 2010 name.
Java RTIambassador,setAttributeScopeAdvisorySwitch,New 2025 API method,Add,Add 2025 API/binding requirement,Java RTIambassador,,Java rti1516_2025,,"void setAttributeScopeAdvisorySwitch(boolean) throws SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",New 2025 Java method name; add requirement or map if replacing a 2010 name.
Java RTIambassador,setAutomaticResignDirective,Different exception set,Modify exception requirement,"Reuse behavior requirement, but update exception/negative-path requirements",Java RTIambassador,Java rti1516e,Java rti1516_2025,"void setAutomaticResignDirective(ResignAction) throws InvalidResignAction, FederateNotExecutionMember, NotConnected, RTIinternalError","void setAutomaticResignDirective(ResignAction) throws SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","Same signature, but 2025 removes InvalidResignAction and adds SaveInProgress/RestoreInProgress."
Java RTIambassador,setConveyRegionDesignatorSetsSwitch,New 2025 API method,Add,Add 2025 API/binding requirement,Java RTIambassador,,Java rti1516_2025,,"void setConveyRegionDesignatorSetsSwitch(boolean) throws SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",New 2025 Java method name; add requirement or map if replacing a 2010 name.
Java RTIambassador,setExceptionReportingSwitch,New 2025 API method,Add,Add 2025 API/binding requirement,Java RTIambassador,,Java rti1516_2025,,"void setExceptionReportingSwitch(boolean) throws SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",New 2025 Java method name; add requirement or map if replacing a 2010 name.
Java RTIambassador,setInteractionRelevanceAdvisorySwitch,New 2025 API method,Add,Add 2025 API/binding requirement,Java RTIambassador,,Java rti1516_2025,,"void setInteractionRelevanceAdvisorySwitch(boolean) throws SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",New 2025 Java method name; add requirement or map if replacing a 2010 name.
Java RTIambassador,setObjectClassRelevanceAdvisorySwitch,New 2025 API method,Add,Add 2025 API/binding requirement,Java RTIambassador,,Java rti1516_2025,,"void setObjectClassRelevanceAdvisorySwitch(boolean) throws SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",New 2025 Java method name; add requirement or map if replacing a 2010 name.
Java RTIambassador,setRangeBounds,Same API method shape,Carry forward,Reuse API/binding requirement; update package namespace only,Java RTIambassador,Java rti1516e,Java rti1516_2025,"void setRangeBounds(RegionHandle, DimensionHandle, RangeBounds) throws InvalidRangeBound, RegionDoesNotContainSpecifiedDimension, RegionNotCreatedByThisFederate, InvalidRegion, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError","void setRangeBounds(RegionHandle, DimensionHandle, RangeBounds) throws InvalidRangeBound, RegionDoesNotContainSpecifiedDimension, RegionNotCreatedByThisFederate, InvalidRegion, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",Same method name and same parameter/return type shape; parameter variable names and package names not treated as requirement deltas.
